Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Spdr s&p 500 etf trust,SPY,"",6989665.0,2249694000.0,22.9697,18.3516,1,-48801.0,-0.693347,reduction,No Data,Q4 2007,FINANCE,13F,12/31/2019,156.9105
Vanguard ftse emerging markets etf,VWO,"",24757646.0,1100973000.0,11.2411,13.2217,2,-12622423.0,-33.767789,reduction,No Data,Q4 2009,FINANCE,13F,12/31/2019,40.8645
Ishares core s&p 500 etf,IVV,"",2188003.0,707250000.0,7.2211,5.7385,3,0.0,0.0,,No Data,Q3 2010,FINANCE,13F,12/31/2019,240.3692
Spdr gold trust,GLD,"",4056627.0,579692000.0,5.9187,4.9494,4,0.0,0.0,,No Data,Q2 2017,MATERIALS,13F,12/31/2019,121.1753
Ishares msci brazil capped etf,EWZ,"",10987334.0,521349000.0,5.323,4.6972,5,-1703027.0,-13.419847,reduction,No Data,Q1 2016,FINANCE,13F,12/31/2019,40.7222
Ishares core msci emerging markets etf,IEMG,"",7916557.0,425594000.0,4.3454,7.451,6,-9384182.0,-54.24151,reduction,No Data,Q3 2016,FINANCE,13F,12/31/2019,51.3244
Ishares iboxx investment grade corporate bond fund,LQD,"",2330933.0,298266000.0,3.0453,2.6115,7,-801.0,-0.034352,reduction,No Data,Q4 2010,FINANCE,13F,12/31/2019,118.6991
Ishares iboxx $ high yield corp bond etf,HYG,"",3060858.0,269172000.0,2.7483,2.3475,8,-4334.0,-0.141394,reduction,No Data,Q2 2016,FINANCE,13F,12/31/2019,87.9771
Ishares 20+ year treasury bond etf,TLT,"",1939329.0,262740000.0,2.6826,2.3996,9,30431.0,1.594166,addition,No Data,Q2 2017,FINANCE,13F,12/31/2019,125.2588
Ishares msci eafe index fund,EFA,"",2714309.0,188482000.0,1.9244,1.5551,10,0.0,0.0,,No Data,Q2 2017,FINANCE,13F,12/31/2019,67.0567
Vanguard ftse developed markets etf,VEA,"",4277546.0,188469000.0,1.9243,1.5438,11,0.0,0.0,,No Data,Q2 2017,FINANCE,13F,12/31/2019,42.4776
Ishares msci taiwan capped etf,EWT,"",4407898.0,181297000.0,1.8511,1.2767,12,411376.0,10.29335,addition,No Data,Q3 2019,FINANCE,13F,12/31/2019,36.8052
Ishares msci south korea capped etf,EWY,"",2869202.0,178436000.0,1.8219,1.755,13,-676268.0,-19.074142,reduction,No Data,Q3 2016,FINANCE,13F,12/31/2019,59.9655
Ishares core msci eafe etf,IEFA,"",2670507.0,174224000.0,1.7789,1.4328,14,0.0,0.0,,No Data,Q2 2017,FINANCE,13F,12/31/2019,62.7738
Ishares gold trust,IAU,"",11679855.0,169358000.0,1.7292,1.4469,15,0.0,0.0,,No Data,Q2 2017,MATERIALS,13F,12/31/2019,12.2219
Ishares msci emerging index fund,EEM,"",3571143.0,160237000.0,1.636,4.5114,16,-8993071.0,-71.576869,reduction,No Data,Q1 2010,FINANCE,13F,12/31/2019,42.612
Ishares jp morgan usd emerging markets b,EMB,"",1311709.0,150269000.0,1.5343,1.3363,17,-30120.0,-2.244697,reduction,No Data,Q2 2017,FINANCE,13F,12/31/2019,115.3677
Ishares msci india index fund,INDA,"",3762595.0,132255000.0,1.3503,1.0781,18,107208.0,2.932877,addition,No Data,Q1 2019,FINANCE,13F,12/31/2019,34.9969
Ishares msci mexico capped etf,EWW,"",973570.0,43840000.0,0.4476,0.3213,23,117595.0,13.738135,addition,No Data,Q1 2019,FINANCE,13F,12/31/2019,43.438
Ishares msci china etf,MCHI,"",658795.0,42222000.0,0.4311,0.297,24,56075.0,9.303657,addition,No Data,Q2 2019,FINANCE,13F,12/31/2019,59.3214
Ishares china large-cap etf,FXI,"",940619.0,41039000.0,0.419,0.3005,25,81116.0,9.437547,addition,No Data,Q2 2019,FINANCE,13F,12/31/2019,42.3917
Ishares tips bond etf,TIP,"",291159.0,33940000.0,0.3465,0.2739,28,23077.0,8.608187,addition,No Data,Q2 2017,FINANCE,13F,12/31/2019,113.6343
Ares capital corp,ARCC,"",88271.0,1646000.0,0.0168,,242,88271.0,,new,No Data,Q4 2019,FINANCE,13F,12/31/2019,18.65
