Date,Open,High,Low,Close,Adj Close,Volume
2008-06-01,49.919998,51.720001,49.259998,49.540001,38.981586,66500
2008-07-01,49.130001,49.689999,46.340000,48.209999,37.935047,743400
2008-08-01,48.189999,50.020000,46.139999,47.320000,37.234730,719900
2008-09-01,47.320000,47.689999,35.849998,43.009998,33.843327,1610800
2008-10-01,41.590000,42.830002,29.000000,33.790001,26.588369,3581500
2008-11-01,34.650002,35.990002,26.600000,31.490000,24.778564,2968700
2008-12-01,30.920000,34.660000,28.750000,32.980000,25.951006,5222400
2009-01-01,32.980000,34.750000,28.370001,29.400000,23.284153,2530800
2009-02-01,29.000000,31.490000,26.299999,26.600000,21.066622,2075400
2009-03-01,26.230000,30.450001,24.360001,28.950001,22.927765,2912800
2009-04-01,28.290001,32.990002,28.290001,32.439999,25.691769,1748000
2009-05-01,32.740002,35.880001,32.310001,35.880001,28.416185,2101900
2009-06-01,35.959999,37.250000,34.119999,35.259998,27.925146,1561400
2009-07-01,35.830002,39.070000,33.439999,38.830002,30.752516,3090600
2009-08-01,39.560001,40.799999,37.820000,39.869999,31.576166,3410100
2009-09-01,39.810001,43.000000,38.730000,41.959999,33.231407,2895900
2009-10-01,41.810001,44.060001,40.000000,40.900002,32.391907,4532500
2009-11-01,41.130001,47.430000,40.630001,43.080002,34.118412,3237200
2009-12-01,43.880001,44.509998,42.549999,43.090000,34.126331,3126000
2010-01-01,43.730000,44.930000,40.700001,40.889999,32.881882,6440000
2010-02-01,41.299999,42.369999,39.230000,41.740002,33.565403,2728300
2010-03-01,41.900002,44.700001,41.880001,44.520000,35.800964,4694200
2010-04-01,44.980000,46.549999,43.799999,44.320000,35.640125,2608400
2010-05-01,44.500000,44.860001,37.930000,39.939999,32.117931,3736700
2010-06-01,39.590000,42.340000,38.439999,38.820000,31.217274,1727900
2010-07-01,39.009998,42.889999,38.310001,42.389999,34.088112,1687700
2010-08-01,43.180000,43.680000,40.080002,40.700001,32.729088,1467800
2010-09-01,41.540001,45.330002,41.450001,44.790001,36.018078,1777600
2010-10-01,45.189999,47.029999,44.520000,46.490002,37.385159,1884400
2010-11-01,46.549999,48.360001,45.029999,45.259998,36.396038,1930400
2010-12-01,46.150002,48.299999,46.119999,47.799999,38.438580,2407600
2011-01-01,48.200001,49.150002,47.150002,48.470001,39.733482,2547200
2011-02-01,48.889999,50.360001,48.549999,49.889999,40.897552,1429600
2011-03-01,50.110001,50.270000,45.959999,49.860001,40.872952,2646500
2011-04-01,50.130001,52.130001,48.750000,52.029999,42.651814,1631800
2011-05-01,52.250000,52.349998,48.779999,50.849998,41.684509,1614700
2011-06-01,50.730000,50.759998,47.389999,50.169998,41.127075,2302500
2011-07-01,50.150002,51.020000,48.349998,49.090000,40.241745,2191600
2011-08-01,49.869999,49.869999,41.689999,45.529999,37.323414,5501800
2011-09-01,45.599998,45.990002,39.720001,40.650002,33.323013,5916100
2011-10-01,40.500000,47.490002,38.669998,45.230000,37.077480,4280600
2011-11-01,43.869999,46.090000,40.750000,44.669998,36.618420,3442900
2011-12-01,44.540001,45.330002,42.110001,43.180000,35.396988,5228500
