"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 10, 2019","10,251.10","10,314.50","10,387.60","10,239.00","0.71K","-0.61%"
"Sep 09, 2019","10,314.50","10,408.60","10,516.80","10,068.70","4.64K","-0.91%"
"Sep 08, 2019","10,409.60","10,483.40","10,599.00","10,240.90","1.96K","-0.70%"
"Sep 07, 2019","10,483.40","10,311.80","10,569.10","10,307.60","2.18K","1.56%"
"Sep 06, 2019","10,322.80","10,574.90","10,947.00","10,145.30","7.97K","-2.38%"
"Sep 05, 2019","10,574.90","10,584.90","10,662.40","10,457.30","3.42K","-0.09%"
"Sep 04, 2019","10,584.90","10,614.60","10,850.00","10,319.00","5.71K","-0.28%"
"Sep 03, 2019","10,614.60","10,389.50","10,781.40","10,271.60","6.63K","2.17%"
"Sep 02, 2019","10,389.50","9,764.90","10,490.00","9,752.80","5.93K","6.40%"
"Sep 01, 2019","9,764.90","9,604.30","9,831.40","9,540.90","1.99K","1.67%"
"Aug 31, 2019","9,604.30","9,578.00","9,690.00","9,425.60","1.92K","0.27%"
"Aug 30, 2019","9,578.00","9,484.30","9,699.70","9,356.20","4.20K","1.05%"
"Aug 29, 2019","9,478.30","9,716.10","9,716.10","9,322.60","5.69K","-2.45%"
"Aug 28, 2019","9,716.10","10,179.90","10,282.00","9,562.30","5.61K","-4.54%"
"Aug 27, 2019","10,178.30","10,364.40","10,387.90","10,033.00","3.13K","-1.80%"
"Aug 26, 2019","10,364.60","10,134.50","10,657.20","10,134.50","6.66K","2.21%"
"Aug 25, 2019","10,140.40","10,140.50","10,347.00","9,911.70","3.89K","-0.00%"
"Aug 24, 2019","10,140.50","10,406.30","10,421.40","9,900.30","3.75K","-2.55%"
"Aug 23, 2019","10,406.30","10,107.90","10,473.20","10,037.70","3.88K","2.90%"
"Aug 22, 2019","10,113.00","10,125.00","10,230.00","9,760.20","6.02K","-0.12%"
"Aug 21, 2019","10,125.00","10,759.90","10,800.00","9,853.20","8.47K","-5.86%"
"Aug 20, 2019","10,755.20","10,922.00","10,959.00","10,560.10","3.74K","-1.51%"
"Aug 19, 2019","10,920.10","10,325.00","10,933.70","10,269.70","5.03K","5.75%"
"Aug 18, 2019","10,326.40","10,211.80","10,502.40","10,069.30","2.84K","1.12%"
"Aug 17, 2019","10,211.80","10,362.10","10,475.00","9,999.90","3.65K","-1.45%"
"Aug 16, 2019","10,362.10","10,288.80","10,535.00","9,747.60","8.13K","0.55%"
"Aug 15, 2019","10,305.50","10,025.00","10,450.00","9,495.20","11.37K","2.87%"
"Aug 14, 2019","10,018.00","10,857.00","10,860.80","9,904.60","9.00K","-7.67%"
"Aug 13, 2019","10,850.10","11,386.00","11,442.60","10,751.10","5.25K","-4.69%"
"Aug 12, 2019","11,384.20","11,537.40","11,550.20","11,235.00","2.46K","-1.41%"
"Aug 11, 2019","11,546.90","11,284.70","11,577.50","11,124.40","3.11K","2.32%"
"Aug 10, 2019","11,284.70","11,857.60","11,972.00","11,230.60","4.89K","-4.83%"
"Aug 09, 2019","11,857.60","11,982.60","12,042.00","11,660.00","4.79K","-1.19%"
"Aug 08, 2019","12,001.00","11,962.70","12,060.00","11,485.00","5.35K","0.32%"
"Aug 07, 2019","11,962.70","11,459.40","12,160.10","11,387.00","9.09K","4.40%"
"Aug 06, 2019","11,458.80","11,799.60","12,312.60","11,203.40","10.71K","-2.90%"
"Aug 05, 2019","11,800.70","10,972.40","11,940.00","10,972.40","8.09K","7.55%"
"Aug 04, 2019","10,972.40","10,809.90","11,076.10","10,539.90","4.92K","1.50%"
"Aug 03, 2019","10,809.90","10,531.50","10,928.00","10,507.00","3.83K","2.64%"
"Aug 02, 2019","10,531.50","10,404.20","10,661.40","10,336.00","5.02K","1.18%"
"Aug 01, 2019","10,409.00","10,090.10","10,487.90","9,884.00","6.25K","3.20%"
"Jul 31, 2019","10,086.30","9,594.10","10,129.50","9,578.30","5.79K","5.13%"
"Jul 30, 2019","9,594.50","9,499.90","9,758.90","9,383.00","3.82K","1.00%"
"Jul 29, 2019","9,499.90","9,536.20","9,708.20","9,381.30","3.93K","-0.33%"
"Jul 28, 2019","9,531.70","9,471.80","9,602.00","9,122.00","3.73K","0.63%"
"Jul 27, 2019","9,471.80","9,852.00","10,201.00","9,291.60","6.20K","-3.86%"
"Jul 26, 2019","9,852.00","9,878.00","9,911.30","9,661.00","4.13K","-0.26%"
"Jul 25, 2019","9,878.00","9,769.80","10,187.40","9,734.60","5.42K","1.04%"
"Jul 24, 2019","9,776.00","9,849.20","9,919.60","9,519.40","8.00K","-0.63%"
"Jul 23, 2019","9,838.40","10,323.90","10,328.90","9,813.10","7.69K","-4.71%"
"Jul 22, 2019","10,324.50","10,595.30","10,685.10","10,075.10","6.23K","-2.56%"
"Jul 21, 2019","10,595.30","10,764.10","10,842.20","10,188.00","5.26K","-1.51%"
"Jul 20, 2019","10,757.30","10,535.20","11,118.50","10,379.50","6.70K","2.11%"
"Jul 19, 2019","10,535.20","10,647.20","10,761.60","10,126.00","6.95K","-0.95%"
"Jul 18, 2019","10,636.60","9,701.40","10,788.00","9,291.50","12.47K","9.61%"
"Jul 17, 2019","9,703.90","9,420.30","9,979.40","9,100.00","12.53K","3.01%"
"Jul 16, 2019","9,420.30","10,840.80","11,038.10","9,365.00","13.85K","-13.10%"
"Jul 15, 2019","10,840.40","10,621.10","11,078.30","9,860.70","9.67K","1.97%"
"Jul 14, 2019","10,631.00","11,381.50","11,461.10","10,310.50","7.53K","-6.59%"
"Jul 13, 2019","11,381.50","11,798.10","11,844.50","10,812.60","7.13K","-3.53%"
"Jul 12, 2019","11,798.10","11,353.00","11,930.10","11,091.40","7.06K","4.01%"
"Jul 11, 2019","11,343.40","12,096.20","12,096.20","10,978.10","12.98K","-6.22%"
"Jul 10, 2019","12,096.30","12,562.90","13,190.50","11,560.90","12.63K","-3.77%"
"Jul 09, 2019","12,570.50","12,299.70","12,817.30","12,155.00","8.70K","2.22%"
"Jul 08, 2019","12,298.00","11,480.70","12,400.00","11,331.90","6.47K","7.11%"
"Jul 07, 2019","11,482.00","11,234.20","11,615.60","11,050.10","4.60K","2.21%"
"Jul 06, 2019","11,233.50","10,983.90","11,699.90","10,945.60","5.26K","2.07%"
"Jul 05, 2019","11,006.00","11,145.00","11,437.10","10,736.00","8.02K","-1.33%"
"Jul 04, 2019","11,154.60","11,979.80","12,064.10","10,900.00","7.84K","-7.05%"
"Jul 03, 2019","12,000.00","10,834.70","12,012.10","10,807.30","13.48K","10.80%"
