"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 10, 2019","85.50","86.39","86.66","84.71","0.04K","-1.03%"
"Sep 09, 2019","86.39","87.50","89.38","85.90","0.04K","-1.27%"
"Sep 08, 2019","87.50","83.46","87.50","83.46","0.34K","4.84%"
"Sep 07, 2019","83.46","80.65","84.01","80.04","0.10K","3.49%"
"Sep 06, 2019","80.65","80.07","82.65","78.00","0.57K","0.72%"
"Sep 05, 2019","80.07","81.95","81.95","80.07","0.20K","-2.30%"
"Sep 04, 2019","81.95","82.60","83.00","80.35","0.16K","-0.79%"
"Sep 03, 2019","82.60","81.61","83.83","80.22","0.05K","1.21%"
"Sep 02, 2019","81.61","79.34","83.00","79.34","0.29K","2.86%"
"Sep 01, 2019","79.34","80.35","80.35","78.10","0.10K","-1.25%"
"Aug 31, 2019","80.35","79.80","80.35","78.34","0.19K","0.69%"
"Aug 30, 2019","79.80","79.50","81.71","79.34","0.68K","0.38%"
"Aug 29, 2019","79.50","84.91","84.91","78.00","0.61K","-6.37%"
"Aug 28, 2019","84.91","90.80","90.80","84.44","0.17K","-6.49%"
"Aug 27, 2019","90.80","92.06","92.06","90.09","0.10K","-1.37%"
"Aug 26, 2019","92.06","90.85","93.59","90.85","0.09K","1.34%"
"Aug 25, 2019","90.85","92.11","93.60","90.64","0.12K","-1.37%"
"Aug 24, 2019","92.11","92.98","94.51","90.07","0.05K","-0.94%"
"Aug 23, 2019","92.98","91.00","96.01","90.11","0.16K","2.18%"
"Aug 22, 2019","91.00","89.13","92.00","88.21","0.08K","2.10%"
"Aug 21, 2019","89.13","93.81","93.81","87.33","0.59K","-5.00%"
"Aug 20, 2019","93.81","97.69","97.69","93.51","0.31K","-3.97%"
"Aug 19, 2019","97.69","95.43","97.69","93.99","0.16K","2.36%"
"Aug 18, 2019","95.43","91.01","95.93","91.01","0.13K","4.86%"
"Aug 17, 2019","91.01","94.11","94.11","90.66","0.18K","-3.30%"
"Aug 16, 2019","94.11","95.19","95.33","91.07","0.25K","-1.14%"
"Aug 15, 2019","95.19","96.04","96.90","91.07","0.57K","-0.50%"
"Aug 14, 2019","95.68","101.83","102.76","95.20","0.91K","-6.05%"
"Aug 13, 2019","101.83","105.50","107.54","100.64","0.28K","-3.47%"
"Aug 12, 2019","105.50","106.52","106.52","102.09","0.15K","-0.96%"
"Aug 11, 2019","106.52","99.06","108.85","99.06","0.32K","7.52%"
"Aug 10, 2019","99.06","102.99","104.27","97.49","0.54K","-3.81%"
"Aug 09, 2019","102.99","105.64","105.64","102.71","0.22K","-2.51%"
"Aug 08, 2019","105.64","107.80","108.20","104.09","0.18K","-2.00%"
"Aug 07, 2019","107.80","106.55","110.62","105.75","0.31K","1.17%"
"Aug 06, 2019","106.55","111.37","111.37","104.26","0.43K","-4.33%"
"Aug 05, 2019","111.37","107.08","112.83","107.08","1.67K","4.01%"
"Aug 04, 2019","107.08","106.53","113.18","103.36","0.36K","0.51%"
"Aug 03, 2019","106.53","105.58","107.83","105.58","0.24K","0.90%"
"Aug 02, 2019","105.58","106.91","108.86","103.81","0.18K","-1.25%"
