"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 10, 2019","71.83","70.10","73.24","69.95","79.97K","2.47%"
"Sep 09, 2019","70.10","70.62","71.78","68.19","54.67K","-0.74%"
"Sep 08, 2019","70.62","69.03","71.68","68.35","108.87K","2.31%"
"Sep 07, 2019","69.03","65.08","70.70","64.67","85.04K","6.07%"
"Sep 06, 2019","65.08","65.29","68.13","64.08","67.52K","-0.32%"
"Sep 05, 2019","65.29","67.23","67.57","64.24","110.98K","-2.88%"
"Sep 04, 2019","67.23","69.32","69.51","66.68","110.64K","-3.02%"
"Sep 03, 2019","69.32","67.22","71.13","66.67","86.77K","3.12%"
"Sep 02, 2019","67.22","66.16","68.13","65.20","54.76K","1.49%"
"Sep 01, 2019","66.24","64.42","67.42","64.08","70.37K","2.62%"
"Aug 31, 2019","64.55","64.37","65.51","62.45","36.39K","0.26%"
"Aug 30, 2019","64.38","63.67","65.80","62.35","37.43K","1.17%"
"Aug 29, 2019","63.64","66.82","66.82","62.37","62.65K","-4.78%"
"Aug 28, 2019","66.83","72.90","73.21","64.90","128.46K","-8.33%"
"Aug 27, 2019","72.90","73.68","73.73","72.18","28.38K","-1.05%"
"Aug 26, 2019","73.68","72.13","75.52","72.09","47.63K","2.19%"
"Aug 25, 2019","72.09","73.29","74.94","70.73","43.48K","-1.64%"
"Aug 24, 2019","73.29","75.65","75.79","71.61","33.32K","-3.04%"
"Aug 23, 2019","75.59","73.44","76.00","72.50","55.98K","2.77%"
"Aug 22, 2019","73.56","73.16","74.63","71.16","34.92K","0.54%"
"Aug 21, 2019","73.16","75.29","75.55","70.19","77.10K","-2.83%"
"Aug 20, 2019","75.29","77.22","77.49","73.55","29.00K","-2.49%"
"Aug 19, 2019","77.22","76.49","79.13","75.70","70.36K","0.96%"
"Aug 18, 2019","76.49","72.81","78.10","71.56","82.10K","5.06%"
"Aug 17, 2019","72.81","74.96","75.51","71.68","48.08K","-2.88%"
"Aug 16, 2019","74.96","76.42","76.55","72.44","66.07K","-1.91%"
"Aug 15, 2019","76.42","76.03","77.73","71.34","88.53K","0.49%"
"Aug 14, 2019","76.05","84.72","86.43","75.20","111.03K","-10.24%"
"Aug 13, 2019","84.72","85.92","86.87","83.30","55.40K","-1.39%"
"Aug 12, 2019","85.92","90.09","90.13","85.56","53.17K","-4.97%"
"Aug 11, 2019","90.41","85.42","91.46","85.42","59.62K","5.84%"
"Aug 10, 2019","85.42","84.43","87.61","82.77","87.58K","1.18%"
"Aug 09, 2019","84.43","90.58","90.70","82.80","81.37K","-6.79%"
"Aug 08, 2019","90.58","90.70","92.46","88.23","46.53K","-0.14%"
"Aug 07, 2019","90.70","92.98","94.04","87.56","99.37K","-2.54%"
"Aug 06, 2019","93.07","96.59","99.18","91.20","89.56K","-3.65%"
"Aug 05, 2019","96.59","93.03","106.98","92.98","247.07K","3.82%"
"Aug 04, 2019","93.04","94.20","94.88","90.51","75.77K","-1.23%"
"Aug 03, 2019","94.20","94.73","96.65","93.55","49.27K","-0.56%"
"Aug 02, 2019","94.73","98.84","99.04","92.77","74.69K","-4.16%"
"Aug 01, 2019","98.84","98.86","100.49","96.05","83.87K","-0.02%"
"Jul 31, 2019","98.86","90.25","99.88","90.00","86.03K","9.50%"
"Jul 30, 2019","90.29","90.34","92.41","88.69","41.60K","-0.14%"
"Jul 29, 2019","90.41","89.93","92.15","87.58","55.58K","1.01%"
"Jul 28, 2019","89.51","88.63","90.85","83.52","78.52K","0.99%"
"Jul 27, 2019","88.63","94.17","96.36","86.52","102.53K","-5.95%"
"Jul 26, 2019","94.24","93.38","94.73","90.24","56.67K","1.02%"
"Jul 25, 2019","93.29","94.46","96.56","91.58","56.18K","-1.23%"
"Jul 24, 2019","94.46","90.10","96.94","87.04","137.58K","4.83%"
"Jul 23, 2019","90.10","95.27","95.27","88.91","92.05K","-5.43%"
"Jul 22, 2019","95.27","99.50","100.83","91.53","145.90K","-4.24%"
"Jul 21, 2019","99.50","100.37","101.29","96.31","66.62K","-0.87%"
"Jul 20, 2019","100.37","98.51","105.79","97.69","115.63K","1.89%"
"Jul 19, 2019","98.51","101.15","101.37","95.24","137.25K","-2.61%"
"Jul 18, 2019","101.15","90.11","102.92","87.20","258.05K","12.21%"
"Jul 17, 2019","90.14","79.59","93.97","76.88","346.67K","13.35%"
"Jul 16, 2019","79.53","90.10","91.59","77.02","229.26K","-11.73%"
"Jul 15, 2019","90.10","89.68","92.79","84.98","172.12K","0.26%"
"Jul 14, 2019","89.87","100.74","101.40","88.05","206.25K","-10.76%"
"Jul 13, 2019","100.70","104.95","105.10","97.32","97.63K","-3.97%"
"Jul 12, 2019","104.86","103.01","106.18","100.80","67.66K","1.80%"
"Jul 11, 2019","103.01","108.24","108.24","94.78","197.38K","-4.84%"
"Jul 10, 2019","108.25","119.55","120.14","102.10","238.64K","-9.38%"
"Jul 09, 2019","119.45","123.43","123.98","117.68","78.41K","-3.22%"
"Jul 08, 2019","123.43","120.30","125.59","118.51","60.58K","2.60%"
