Date;Paradigm;BTC
2016-08-10;1000000;1000000
2016-08-11;999963;983524
2016-08-12;999865;982687
2016-08-13;999540;980613
2016-08-14;995144;957714
2016-08-15;993177;950086
2016-08-16;999312;969690
2016-08-17;995267;958968
2016-08-18;996306;961444
2016-08-19;996875;962648
2016-08-20;1002783;973504
2016-08-21;1002764;973504
2016-08-22;1006915;980128
2016-08-23;999900;970259
2016-08-24;998770;968837
2016-08-25;994571;963552
2016-08-26;998172;968085
2016-08-27;987421;954552
2016-08-28;991567;959771
2016-08-29;990637;958600
2016-08-30;992976;961544
2016-08-31;988909;956426
2016-09-01;989255;956861
2016-09-02;993627;962364
2016-09-03;1022413;998595
2016-09-04;1039702;1020357
2016-09-05;1037682;1017814
2016-09-06;1042294;1023619
2016-09-07;1045749;1027968
2016-09-08;1061909;1048308
2016-09-09;1052766;1036800
2016-09-10;1060306;1046936
2016-09-11;1029780;1008514
2016-09-12;1035335;1015506
2016-09-13;1037940;1018785
2016-09-14;1039176;1020340
2016-09-15;1035003;1015088
2016-09-16;1034883;1014937
2016-09-17;1037807;1018617
2016-09-18;1041276;1022983
2016-09-19;1038246;1019169
2016-09-20;1037634;1018400
2016-09-21;1019959;996153
2016-09-22;1021886;998578
2016-09-23;1028903;1007410
2016-09-24;1031189;1010287
2016-09-25;1027308;1005403
2016-09-26;1034644;1014636
2016-09-27;1030086;1008899
2016-09-28;1031800;1011057
2016-09-29;1034990;1015071
2016-09-30;1033514;1013214
2016-10-01;1047841;1031246
2016-10-02;1041634;1023435
2016-10-03;1042684;1024756
2016-10-04;1038299;1019236
2016-10-05;1042937;1025074
2016-10-06;1040664;1022214
2016-10-07;1048930;1032618
2016-10-08;1051123;1035378
2016-10-09;1050645;1034776
2016-10-10;1049256;1033672
2016-10-11;1075795;1067076
2016-10-12;1069310;1058913
2016-10-13;1073137;1063730
2016-10-14;1076154;1067528
2016-10-15;1075862;1067160
2016-10-16;1081696;1074503
2016-10-17;1075729;1066992
2016-10-18;1068380;1057742
2016-10-19;1062546;1050399
2016-10-20;1062572;1050432
2016-10-21;1064792;1053226
2016-10-22;1097750;1094709
2016-10-23;1090613;1085727
2016-10-24;1087955;1082381
2016-10-25;1098295;1095395
2016-10-26;1117897;1120068
2016-10-27;1134203;1140592
2016-10-28;1143639;1152468
2016-10-29;1186166;1205995
2016-10-30;1164318;1178496
2016-10-31;1162909;1176722
2016-11-01;1197768;1220598
2016-11-02;1199482;1222756
2016-11-03;1150443;1161032
2016-11-04;1157367;1169747
2016-11-05;1168902;1184266
2016-11-06;1178205;1195975
2016-11-07;1166869;1181707
2016-11-08;1174232;1190974
2016-11-09;1179574;1197698
2016-11-10;1168491;1186140
2016-11-11;1176173;1195808
2016-11-12;1163016;1179248
2016-11-13;1161767;1177676
2016-11-14;1165382;1182226
2016-11-15;1169860;1187863
2016-11-16;1206407;1233862
2016-11-17;1208227;1236154
2016-11-18;1212865;1241992
2016-11-19;1221477;1252831
2016-11-20;1192825;1216767
2016-11-21;1204147;1231019
2016-11-22;1219417;1250238
2016-11-23;1207948;1235803
2016-11-24;1205330;1232508
2016-11-25;1207603;1235368
2016-11-26;1203868;1230668
2016-11-27;1200652;1226620
2016-11-28;1196878;1221869
2016-11-29;1197848;1223090
2016-11-30;1213982;1243397
2016-12-01;1227763;1260743
2016-12-02;1256043;1296338
2016-12-03;1244840;1282237
2016-12-04;1242568;1279377
2016-12-05;1228095;1261161
2016-12-06;1233757;1268287
2016-12-07;1245398;1282940
2016-12-08;1251352;1290434
2016-12-09;1250874;1289832
2016-12-10;1257693;1299165
2016-12-11;1249958;1289430
2016-12-12;1261999;1304585
2016-12-13;1264005;1307111
2016-12-14;1260470;1302661
2016-12-15;1257121;1298446
2016-12-16;1262358;1305037
2016-12-17;1276471;1322801
2016-12-18;1275740;1321881
2016-12-19;1276338;1322634
2016-12-20;1279395;1326481
2016-12-21;1321656;1379673
2016-12-22;1370150;1440711
2016-12-23;1426870;1512102
2016-12-24;1410949;1492063
2016-12-25;1406962;1487045
2016-12-26;1419866;1503287
2016-12-27;1457516;1550675
2016-12-28;1514595;1622518
2016-12-29;1513877;1621615
2016-12-30;1493491;1595955
2016-12-31;1512907;1620394
2017-01-01;1550767;1668066
2017-01-02;1570854;1693123
2017-01-03;1591015;1713631
2017-01-04;1685321;1824465
2017-01-05;1526750;1622317
2017-01-06;1440088;1504558
2017-01-07;1433093;1501748
2017-01-08;1467253;1538531
2017-01-09;1448780;1508790
2017-01-10;1461995;1523510
2017-01-11;1312654;1323186
2017-01-12;1356598;1396216
2017-01-13;1352507;1387184
2017-01-14;1350495;1384925
2017-01-15;1352182;1384992
2017-01-16;1350280;1393105
2017-01-17;1439370;1503856
2017-01-18;1415310;1465283
2017-01-19;1450149;1516635
2017-01-20;1450299;1503187
2017-01-21;1485955;1550374
2017-01-22;1472954;1543917
2017-01-23;1477324;1541810
2017-01-24;1450555;1507352
2017-01-25;1444149;1500560
2017-01-26;1464018;1532325
2017-01-27;1467570;1544720
2017-01-28;1470679;1547915
2017-01-29;1463202;1538464
2017-01-30;1467492;1543716
2017-01-31;1505224;1607112
2017-02-01;1525171;1640600
2017-02-02;1552620;1687754
2017-02-03;1569020;1699145
2017-02-04;1590449;1721760
2017-02-05;1571611;1698309
2017-02-06;1585788;1715387
2017-02-07;1615622;1761253
2017-02-08;1618166;1774735
2017-02-09;1531339;1635850
2017-02-10;1564897;1680093
2017-02-11;1582641;1708379
2017-02-12;1567981;1687336
2017-02-13;1565440;1679039
2017-02-14;1629362;1687871
2017-02-15;1630270;1699045
2017-02-16;1650194;1736280
2017-02-17;1663107;1770570
2017-02-18;1672773;1786444
2017-02-19;1664099;1769700
2017-02-20;1657837;1783216
2017-02-21;1719359;1871937
2017-02-22;1725793;1892712
2017-02-23;1778938;1954870
2017-02-24;1782235;1970711
2017-02-25;1778719;1936219
2017-02-26;1831101;1970109
2017-02-27;1876827;1996487
2017-02-28;1890426;1999030
2017-03-01;1971683;2051570
2017-03-02;2061684;2119365
2017-03-03;2091936;2146112
2017-03-04;2045046;2121205
2017-03-05;2082185;2137313
2017-03-06;2089212;2139638
2017-03-07;2040362;2088152
2017-03-08;1885783;1948497
2017-03-09;1965485;2019086
2017-03-10;1920934;1847097
2017-03-11;2059280;1971146
2017-03-12;2171300;2060586
2017-03-13;2360781;2085877
2017-03-14;2376162;2097570
2017-03-15;2582691;2095311
2017-03-16;2841306;1928240
2017-03-17;2789227;1856749
2017-03-18;2289663;1584012
2017-03-19;2689245;1763528
2017-03-20;2628211;1718616
2017-03-21;2702297;1832829
2017-03-22;2592046;1689276
2017-03-23;2673050;1733921
2017-03-24;2975737;1610893
2017-03-25;2848730;1579830
2017-03-26;2869238;1638760
2017-03-27;2860961;1717662
2017-03-28;2906809;1725524
2017-03-29;3007653;1740880
2017-03-30;2961580;1734138
2017-03-31;2935260;1805430
2017-04-01;2965927;1806985
2017-04-02;2926375;1859375
2017-04-03;2818571;1931686
2017-04-04;2812154;1910560
2017-04-05;2830957;1886339
2017-04-06;2819579;2007243
2017-04-07;2788978;2003914
2017-04-08;2852133;1978823
2017-04-09;2855128;2020625
2017-04-10;2857019;2011341
2017-04-11;2879255;2050616
2017-04-12;2960425;2034508
2017-04-13;3047432;1955456
2017-04-14;2985010;1975127
2017-04-15;3027938;1978807
2017-04-16;3021134;1973387
2017-04-17;3028792;1991536
2017-04-18;3136303;2008263
2017-04-19;3046927;2015774
2017-04-20;3155723;2073315
2017-04-21;3141722;2084924
2017-04-22;3172586;2090778
2017-04-23;3212761;2090879
2017-04-24;3229798;2105883
2017-04-25;3271052;2149256
2017-04-26;3398513;2166770
2017-04-27;3829151;2268454
2017-04-28;4049806;2191325
2017-04-29;4023905;2277403
2017-04-30;4377594;2300420
2017-05-01;4399217;2440476
2017-05-02;4407899;2422261
2017-05-03;4621011;2549220
2017-05-04;5081037;2555911
2017-05-05;4844023;2592911
2017-05-06;5063439;2659987
2017-05-07;4995604;2676279
2017-05-08;4922448;2806517
2017-05-09;4979772;2894452
2017-05-10;5019880;2984460
2017-05-11;5099340;3052507
2017-05-12;4855039;2817373
2017-05-13;5006796;2933409
2017-05-14;5077866;3008999
2017-05-15;5014437;2887108
2017-05-16;5005677;2957664
2017-05-17;5089431;3030962
2017-05-18;5311836;3134185
2017-05-19;5798956;3244267
2017-05-20;5920023;3415687
2017-05-21;6271528;3412325
2017-05-22;6597961;3643109
2017-05-23;6893683;3753475
2017-05-24;7425497;4105783
2017-05-25;7277247;4206848
2017-05-26;6758356;3875199
2017-05-27;6406579;3502752
2017-05-28;6714123;3652527
2017-05-29;7351127;3904120
2017-05-30;7767844;3761822
2017-05-31;7722938;3824231
2017-06-01;7792824;4037051
2017-06-02;7864001;4060536
2017-06-03;8088876;4289447
2017-06-04;8365754;4178128
2017-06-05;8613015;4456100
2017-06-06;9219387;4821220
2017-06-07;8832244;4561380
2017-06-08;8959153;4598732
2017-06-09;9411382;4745663
2017-06-10;10163827;4778215
2017-06-11;10469678;4953632
2017-06-12;10793049;4405165
2017-06-13;10827897;4525049
2017-06-14;9897486;4268822
2017-06-15;9662398;3932740
2017-06-16;9981483;4137196
2017-06-17;10465530;4422428
2017-06-18;9987772;4135122
2017-06-19;10227784;4301975
2017-06-20;10321154;4625077
2017-06-21;9828360;4446080
2017-06-22;9831947;4463761
2017-06-23;9948327;4540572
2017-06-24;9335871;4309938
2017-06-25;8885730;4135758
2017-06-26;8319552;3929344
2017-06-27;8894754;4108342
2017-06-28;9593068;4345684
2017-06-29;9133937;4280046
2017-06-30;8902005;4178613
2017-07-01;8460290;4028319
2017-07-02;8940917;4188632
2017-07-03;8958211;4275496
2017-07-04;8879230;4315892
2017-07-05;8889258;4363448
2017-07-06;8883747;4344897
2017-07-07;8354346;4206882
2017-07-08;8496367;4251058
2017-07-09;8335963;4247010
2017-07-10;7617291;3997792
2017-07-11;7332500;3902464
2017-07-12;7939553;3978589
2017-07-13;7592936;3911814
2017-07-14;7217127;3616446
2017-07-15;6605606;3367145
2017-07-16;6205720;3121540
