date,open,high,low,close,volume,dividend,split
2015-01-02,11.25,11.25,11.25,11.25,0,0,1
2015-01-05,11.15999984741211,11.15999984741211,11.15999984741211,11.15999984741211,0,0,1
2015-01-06,11.140000343322754,11.140000343322754,11.140000343322754,11.140000343322754,0,0,1
2015-01-07,11.170000076293945,11.170000076293945,11.170000076293945,11.170000076293945,0,0,1
2015-01-08,11.229999542236328,11.229999542236328,11.229999542236328,11.229999542236328,0,0,1
2015-01-09,11.220000267028809,11.220000267028809,11.220000267028809,11.220000267028809,0,0,1
2015-01-12,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0,0,1
2015-01-13,11.210000038146973,11.210000038146973,11.210000038146973,11.210000038146973,0,0,1
2015-01-14,11.1899995803833,11.1899995803833,11.1899995803833,11.1899995803833,0,0,1
2015-01-15,11.15999984741211,11.15999984741211,11.15999984741211,11.15999984741211,0,0,1
2015-01-16,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0,0,1
2015-01-20,11.220000267028809,11.220000267028809,11.220000267028809,11.220000267028809,0,0,1
2015-01-21,11.239999771118164,11.239999771118164,11.239999771118164,11.239999771118164,0,0,1
2015-01-22,11.279999732971191,11.279999732971191,11.279999732971191,11.279999732971191,0,0,1
2015-01-23,11.289999961853027,11.289999961853027,11.289999961853027,11.289999961853027,0,0,1
2015-01-26,11.3100004196167,11.3100004196167,11.3100004196167,11.3100004196167,0,0,1
2015-01-27,11.289999961853027,11.289999961853027,11.289999961853027,11.289999961853027,0,0,1
2015-01-28,11.260000228881836,11.260000228881836,11.260000228881836,11.260000228881836,0,0,1
2015-01-29,11.279999732971191,11.279999732971191,11.279999732971191,11.279999732971191,0,0,1
2015-01-30,11.229999542236328,11.229999542236328,11.229999542236328,11.229999542236328,0,0,1
2015-02-02,11.260000228881836,11.260000228881836,11.260000228881836,11.260000228881836,0,0,1
2015-02-03,11.300000190734863,11.300000190734863,11.300000190734863,11.300000190734863,0,0,1
2015-02-04,11.289999961853027,11.289999961853027,11.289999961853027,11.289999961853027,0,0,1
2015-02-05,11.329999923706055,11.329999923706055,11.329999923706055,11.329999923706055,0,0,1
2015-02-06,11.300000190734863,11.300000190734863,11.300000190734863,11.300000190734863,0,0,1
2015-02-09,11.279999732971191,11.279999732971191,11.279999732971191,11.279999732971191,0,0,1
2015-02-10,11.300000190734863,11.300000190734863,11.300000190734863,11.300000190734863,0,0,1
2015-02-11,11.300000190734863,11.300000190734863,11.300000190734863,11.300000190734863,0,0,1
2015-02-12,11.34000015258789,11.34000015258789,11.34000015258789,11.34000015258789,0,0,1
2015-02-13,11.350000381469727,11.350000381469727,11.350000381469727,11.350000381469727,0,0,1
2015-02-17,11.329999923706055,11.329999923706055,11.329999923706055,11.329999923706055,0,0,1
2015-02-18,11.350000381469727,11.350000381469727,11.350000381469727,11.350000381469727,0,0,1
2015-02-19,11.34000015258789,11.34000015258789,11.34000015258789,11.34000015258789,0,0,1
2015-02-20,11.369999885559082,11.369999885559082,11.369999885559082,11.369999885559082,0,0,1
2015-02-23,11.380000114440918,11.380000114440918,11.380000114440918,11.380000114440918,0,0,1
2015-02-24,11.40999984741211,11.40999984741211,11.40999984741211,11.40999984741211,0,0,1
2015-02-25,11.420000076293945,11.420000076293945,11.420000076293945,11.420000076293945,0,0,1
2015-02-26,11.40999984741211,11.40999984741211,11.40999984741211,11.40999984741211,0,0,1
2015-02-27,11.40999984741211,11.40999984741211,11.40999984741211,11.40999984741211,0,0,1
2015-03-02,11.40999984741211,11.40999984741211,11.40999984741211,11.40999984741211,0,0,1
2015-03-03,11.390000343322754,11.390000343322754,11.390000343322754,11.390000343322754,0,0,1
2015-03-04,11.369999885559082,11.369999885559082,11.369999885559082,11.369999885559082,0,0,1
