Date;Price
01 2017 00:00:00 GMT+0000;,964,
02 2017 00:00:00 GMT+0000;,995.54,3.2
03 2017 00:00:00 GMT+0000;,1019.78,2.
04 2017 00:00:00 GMT+0000;,1046.8,2.6
05 2017 00:00:00 GMT+0000;,1163.73,11
06 2017 00:00:00 GMT+0000;,1023.44,-1
07 2017 00:00:00 GMT+0000;,920.34,-10
08 2017 00:00:00 GMT+0000;,921.79,0.1
09 2017 00:00:00 GMT+0000;,927.93,0.6
10 2017 00:00:00 GMT+0000;,919.19,-0.
11 2017 00:00:00 GMT+0000;,926.91,0.8
12 2017 00:00:00 GMT+0000;,796.77,-14
13 2017 00:00:00 GMT+0000;,825.16,3.5
14 2017 00:00:00 GMT+0000;,843.89,2.2
15 2017 00:00:00 GMT+0000;,838.51,-0.
16 2017 00:00:00 GMT+0000;,842.54,0.4
17 2017 00:00:00 GMT+0000;,849.59,0.8
18 2017 00:00:00 GMT+0000;,924.09,8.7
19 2017 00:00:00 GMT+0000;,903.99,-2.
20 2017 00:00:00 GMT+0000;,914.67,1.1
21 2017 00:00:00 GMT+0000;,913.08,-0.
22 2017 00:00:00 GMT+0000;,938.29,2.7
23 2017 00:00:00 GMT+0000;,940.12,0.2
24 2017 00:00:00 GMT+0000;,926.85,-1.
25 2017 00:00:00 GMT+0000;,907.39,-2.
26 2017 00:00:00 GMT+0000;,915.25,0.8
27 2017 00:00:00 GMT+0000;,929.87,1.6
28 2017 00:00:00 GMT+0000;,930.12,0.0
29 2017 00:00:00 GMT+0000;,933.08,0.3
30 2017 00:00:00 GMT+0000;,931.49,-0.
31 2017 00:00:00 GMT+0000;,934.35,0.3
01 2017 00:00:00 GMT+0000;,979.14,4.7
02 2017 00:00:00 GMT+0000;,996.52,1.7
03 2017 00:00:00 GMT+0000;,1015.44,1.
04 2017 00:00:00 GMT+0000;,1034.66,1.
05 2017 00:00:00 GMT+0000;,1046.83,1.
06 2017 00:00:00 GMT+0000;,1032.17,-1
07 2017 00:00:00 GMT+0000;,1043.14,1.
08 2017 00:00:00 GMT+0000;,1062.1,1.8
09 2017 00:00:00 GMT+0000;,1063.23,0.
10 2017 00:00:00 GMT+0000;,996.78,-6.
11 2017 00:00:00 GMT+0000;,991.45,-0.
12 2017 00:00:00 GMT+0000;,1005.16,1.
13 2017 00:00:00 GMT+0000;,1000.47,-0
14 2017 00:00:00 GMT+0000;,992.7,-0.7
15 2017 00:00:00 GMT+0000;,1016.78,2.
16 2017 00:00:00 GMT+0000;,1018.93,0.
17 2017 00:00:00 GMT+0000;,1033.44,1.
18 2017 00:00:00 GMT+0000;,1053.04,1.
19 2017 00:00:00 GMT+0000;,1057.18,0.
20 2017 00:00:00 GMT+0000;,1052.18,-0
21 2017 00:00:00 GMT+0000;,1075.72,2.
